Index,product,category,sale_price,market_price,type,rating,discount_amount,discount_percentage,rating_bucket,price_segment
598,Advanced Toilex With Roundy Cont.- Vf Line,Cleaning & Household,220,220,Toilet & Other Brushes,2,0,0,Average,Medium
599,"New Generation Toilet Roll - 4 Rolls, 3 ply Selection",Cleaning & Household,325,325,Toilet Paper,4.1,0,0,Very Good,Medium
600,Ultimate Pumpkin Oil - Cold Pressed Bundle,Gourmet & World Food,625,625,Flavoured & Other Oils,3.9,0,0,Good,High
601,Max Darjeeling White Teabags - Reeti Premium Pack,Beverages,525,875,Exotic & Flavoured Tea,3.9,350,40,Good,High
602,Signature Twin Bucket Spin Mop - Green - 2 Refills Set,Cleaning & Household,1150,1300,"Mops, Wipers",2.8,0,0,Average,High
603,Fusion Expanding Folder Series,Cleaning & Household,224,329,"Notebooks, Files, Folders",3.6,105,31.91,Good,Medium
604,Expert Mouthwash Liquid - Cool Mint With Mild Taste Selection,Beauty & Hygiene,220.5,245,Mouthwash,4.3,24.5,10,Very Good,Medium
605,Pro Quick Chai Masala Line,Beverages,109.2,140,Leaf & Dust Tea,3.5,30.8,22,Good,Low
606,Expert Non Alcoholic Beverage - Mango Chilli Mojito Mixer Style,Gourmet & World Food,99,99,Cocktail Mixes,3.9,0,0,Good,Low
607,Signature Intimate Lightening Serum Series,Beauty & Hygiene,750,750,Intimate Wash & Care,4,0,0,Very Good,High
608,Signature Olive Oil - Pomace Line,Gourmet & World Food,309,889,"Pure, Pomace Olive Oil",3.9,580,65.24,Good,Medium
609,Max X-Tenso Care Straight Masque Set,Beauty & Hygiene,685,685,Hair & Scalp Treatment,4,0,0,Very Good,High
610,Max Monosodium Glutamate Line,Gourmet & World Food,31.5,35,"Baking, Cake Decorations",4.5,3.5,10,Excellent,Low
611,New Generation Pomace Olive Oil Model,Gourmet & World Food,325,325,"Pure, Pomace Olive Oil",3.9,0,0,Good,Medium
612,"Artisan Puppy Dog Treat - Chicken & Liver Chunks, (Rs 25 Off ) Value Saver Pack Collection","Kitchen, Garden & Pets",465,500,Pet Meals & Treats,4.5,35,7,Excellent,Medium
613,Max Masala - Vegetable Series,"Foodgrains, Oil & Masala",43.7,46,Blended Masalas,4.1,2.3,5,Very Good,Low
614,Advanced Cheese - Mozzarella & Cheddar Premium Pack,Gourmet & World Food,240,240,International Cheese,3.9,0,0,Good,Medium
615,Advanced Baby Oil With Fruit Extracts Set,Baby Care,343.2,429,Baby Oil & Shampoo,3.9,85.8,20,Good,Medium
616,New Generation Soya Milk - Vanilla Style,"Bakery, Cakes & Dairy",77.17,105,"Flavoured, Soya Milk",4.2,27.83,26.5,Very Good,Low
617,Elite Sunlite Spray Edition,Beauty & Hygiene,475,475,Face Care,3.9,0,0,Good,Medium
618,Fusion Max Fresh New Super Plastic Lunch Box/Tiffin Box - Blue Style,"Kitchen, Garden & Pets",469,602,Lunch Boxes,4.5,133,22.09,Excellent,Medium
619,Expert Fruit Yoghurt - Mango Bundle,"Bakery, Cakes & Dairy",79,160,Yogurt & Shrikhand,4,81,50.62,Very Good,Low
620,Signature Chipotle Pepper Sauce Range,Gourmet & World Food,749,749,"Curry Paste, Coconut Milk",4.8,0,0,Excellent,High
621,Elite Dairy Milk Black Forest - Imported Model,Gourmet & World Food,350,350,International Chocolates,5,0,0,Excellent,Medium
622,Fusion Organic Brown Sugar/Sakkare Style,"Foodgrains, Oil & Masala",77,77,"Organic Sugar, Jaggery",4.1,0,0,Very Good,Low
623,Max Ready to Eat - Chicken Darbari Set,Snacks & Branded Foods,190,200,Heat & Eat Ready Meals,3.9,10,5,Good,Medium
624,Elite Nuts Hazelnuts regular Bundle,Gourmet & World Food,400,400,"Luxury Chocolates, Gifts",3,0,0,Good,Medium
625,Pro Roasted Sunflower Pumpkin & Flax Seeds Collection,Gourmet & World Food,500,500,Roasted Seeds & Nuts,4.2,0,0,Very Good,High
626,Expert Organic Paneer Series,"Bakery, Cakes & Dairy",115,125,"Paneer, Tofu & Cream",3.1,10,8,Good,Low
627,"Expert Multipurpose Plastic Basket - Laundry/Clothes, Blue, Oval Series",Cleaning & Household,149,230,"Laundry, Storage Baskets",3.6,81,35.22,Good,Low
628,"Max Man-In-Charge - Aqua Blue, Eau De Parfum Line",Beauty & Hygiene,700,700,Eau De Parfum,3.9,0,0,Good,High
629,Elite Ayurvedic Karela Powder Edition,Beauty & Hygiene,60,60,Ayurveda,3.9,0,0,Good,Low
630,Max Sweetss - Badam halwa Series,Snacks & Branded Foods,600,600,Fresh Sweets,3.9,0,0,Good,High
631,Essential Pre Shave Foam - Classic Sensitive Skin Series,Beauty & Hygiene,180,225,Shaving Care,4.3,45,20,Very Good,Medium
632,Artisan Tomato Ketchup Model,Snacks & Branded Foods,110,110,Tomato Ketchup & Sauces,4,0,0,Very Good,Low
633,Pro Premium Flat Square Plastic Container Set - Blue Edition,"Kitchen, Garden & Pets",69,115,Containers Sets,4.1,46,40,Very Good,Low
634,Fusion Lime Fresh 500 ml + Laundry San- Spring Blossom 480 ml Bundle,Cleaning & Household,303.3,363,Disinfectant Spray & Cleaners,3.9,59.7,16.45,Good,Medium
635,Fusion Touch 'N' Fresh - Wild Lavender Premium Pack,Cleaning & Household,120,120,Air Freshener,4,0,0,Very Good,Low
636,Pro Crushed Chikki Peanut Bar Series,Snacks & Branded Foods,300,300,Chikki & Gajjak,4.1,0,0,Very Good,Medium
637,"New Generation Sausage - Chicken, Cocktail Collection","Eggs, Meat & Fish",205,205,Chicken Sausages,3.9,0,0,Good,Medium
638,Pro Make Up Remover+Brightening Nigt Cream Collection,Beauty & Hygiene,869,1230,Face Care,3.9,0,0,Good,High
639,Advanced Pore Shrinking Face Pack Style,Beauty & Hygiene,299.4,499,Face Care,5,199.6,40,Excellent,Medium
640,Fusion Wafers - Vanilla & Hazelnut Range,Gourmet & World Food,67.5,75,"Cookies, Biscotti, Wafer",2.8,7.5,10,Average,Low
641,Elite Wasabi Coated Green Peas Model,Gourmet & World Food,70,70,"Healthy, Baked Snacks",3.9,0,0,Good,Low
642,New Generation Hair Spa Detoxifying Shampoo Range,Beauty & Hygiene,399,399,Shampoo & Conditioner,3.6,0,0,Good,Medium
643,Artisan Fruit Power Juice- Mixed Berries Collection,Beverages,96.8,110,Juices,3.9,13.2,12,Good,Low
644,Advanced Nilgiris Green Tea - Zoho Lemongrass Model,Beverages,200,400,Exotic & Flavoured Tea,5,200,50,Excellent,Medium
645,Max Borosilicate Glass Round Food Container With Dark Blue Lid Series,"Kitchen, Garden & Pets",239,399,Containers Sets,3.9,160,40.1,Good,Medium
646,Essential Cloth Clip Range,Cleaning & Household,240,240,"Hangers, Clips & Rope",2.8,0,0,Average,Medium
647,Fusion Original Soap Model,Beauty & Hygiene,517.5,575,Bath & Shower,4,57.5,10,Very Good,High
648,Fusion Daily Defence Instant Fairness Cream Bundle,Beauty & Hygiene,240,240,Face & Body,3.9,0,0,Good,Medium
649,Advanced Kashmiri Kahwa Green Tea Selection,Gourmet & World Food,243.75,325,Gourmet Tea & Tea Bags,3.9,81.25,25,Good,Medium
650,Essential Cookies - Atta Desi Ghee Model,"Bakery, Cakes & Dairy",37.25,149,"Bakery Biscuits, Cookies",3.9,111.75,75,Good,Low
651,Signature Biscuits - Badam Pista Premium Pack,"Bakery, Cakes & Dairy",85,99,"Bakery Biscuits, Cookies",3.9,14,14.14,Good,Low
652,Essential Gulabari Moisturising Cold Cream Range,Beauty & Hygiene,76.8,80,Face Care,4.2,3.2,4,Very Good,Low
653,"Advanced Glass Bottle With Removable Fabric Cover - Grey, BB1317 Collection","Kitchen, Garden & Pets",209,389,Water & Fridge Bottles,3.9,180,46.27,Good,Medium
654,Advanced All Time Plastic Soup Strainer - Assorted Colour Style,"Kitchen, Garden & Pets",48,52,"Strainer, Ladle, Spatula",3.7,4,7.69,Good,Low
655,"Elite Active Salt Toothpaste - Saver Pack 300 g + Mouthwash - Plax, Active Salt 250 ml Series",Beauty & Hygiene,171.5,268,Toothpaste,3.9,96.5,36.01,Good,Medium
656,"Max Baby Food with Sprouted Grains - Ragi Rich, 6+ Months, Rich in Vitamins & Minerals, No Milk Selection",Baby Care,99,99,Baby Food,4.1,0,0,Very Good,Low
657,Ultimate Biofluence Therapeutic Shampoo Collection,Beauty & Hygiene,307.5,410,Shampoo & Conditioner,3.9,102.5,25,Good,Medium
658,Essential Vitamin D3 Tablets - 5000 IU D3 Set,Beauty & Hygiene,550,550,Supplements & Proteins,3.9,0,0,Good,High
659,Essential Organic Kala Chana Edition,"Foodgrains, Oil & Masala",64,85,Organic Dals & Pulses,4,21,24.71,Very Good,Low
660,Ultimate Soya Nuts - Roasted Range,Gourmet & World Food,49,49,"Healthy, Baked Snacks",3.9,0,0,Good,Low
661,New Generation Potato Crisp Chips - Original Style,Gourmet & World Food,175,175,Nachos & Chips,3.9,0,0,Good,Medium
662,Ultimate 5 Star Oreo Chocolate Bar Range,Snacks & Branded Foods,35,35,Chocolates,4.4,0,0,Very Good,Low
663,Pro Pad Thai Noodles Range,Gourmet & World Food,210,210,Imported Noodles,4.3,0,0,Very Good,Medium
664,Fusion Xanthan Gum Style,Gourmet & World Food,90.25,95,"Baking, Cake Decorations",4,4.75,5,Very Good,Low
665,Artisan Mint Seasoning Set,"Foodgrains, Oil & Masala",59.25,79,Herbs & Seasoning,3.1,19.75,25,Good,Low
666,Artisan Cranberry Kombucha Collection,Gourmet & World Food,95,95,"Aerated, Still, Sparkling",3.9,0,0,Good,Low
667,New Generation Nomarks - Antimarks Soap For Normal Skin Series,Beauty & Hygiene,35,35,Bathing Bars & Soaps,4.4,0,0,Very Good,Low
668,Signature M1 Perfume Spray - For Men Range,Beauty & Hygiene,231,420,Men'S Deodorants,4.3,189,45,Very Good,Medium
669,"Signature Passiflora Herb Powder - Supports Low Stress, Strain & Low Blood Pressure Model",Beauty & Hygiene,295,295,Ayurveda,3.9,0,0,Good,Medium
670,New Generation Zeb Rise Wired 1200 DPI USB Optical High Precision Mouse Model,Cleaning & Household,168,229,Electronic Accessories,3.9,61,26.64,Good,Medium
671,Elite Glass Cleaner Range,Cleaning & Household,129,129,"Kitchen, Glass & Drain",3.8,0,0,Good,Low
672,Advanced Aika Snack Bowl Set Premium Pack,"Kitchen, Garden & Pets",159,245,Glassware,3.9,86,35.1,Good,Medium
673,New Generation Hyderabadi Dum Biryani Masala Collection,Gourmet & World Food,139.5,155,"Curry Paste, Coconut Milk",3.9,15.5,10,Good,Low
674,Essential Mogo Mogo Fruit Green Tea Make Brew Iced Tea or Hot Tea Set,Gourmet & World Food,449.25,599,Gourmet Tea & Tea Bags,3.9,149.75,25,Good,Medium
675,"Fusion Cat Treats - Salmon Rings, Purr-Fect Collection","Kitchen, Garden & Pets",99,99,Pet Meals & Treats,3.3,0,0,Good,Low
676,Fusion Breakfast Protein Variety Bar - Almond Coconut Bundle,Gourmet & World Food,290,290,Cereal & Granola Bars,3.8,0,0,Good,Medium
677,Expert Medium Wire Hooks Range,"Kitchen, Garden & Pets",219,249,Wall Hooks & Hangers,3.9,30,12.05,Good,Medium
678,Pro Intense Gel Lime  Fresh Collection,Cleaning & Household,175,175,Imported Cleaners,3.9,0,0,Good,Medium
679,Pro Cashew/Kaju Whole Small W320 500g + Raisins/Kishmish - Indian 500g Line,"Foodgrains, Oil & Masala",604,1000,Other Dry Fruits,3.9,0,0,Good,High
680,Max Tahini Set,"Foodgrains, Oil & Masala",260,325,Cooking Pastes,3.3,65,20,Good,Medium
681,Fusion Atta Noodles - Masala Range,Snacks & Branded Foods,80,80,Instant Noodles,4.1,0,0,Very Good,Low
682,Signature Original Deodorant For Women Edition,Beauty & Hygiene,143,220,Women'S Deodorants,4.2,77,35,Very Good,Low
683,Signature Noodles - Medium Egg Style,Snacks & Branded Foods,275,275,Instant Noodles,4,0,0,Very Good,Medium
684,Essential Happy Chef Pasta- Penne Rigate 500g +Sauce - Arrabiata 270g +Borges Olive Oil 1L Collection,Gourmet & World Food,912,1704,Pastas & Spaghetti,3.9,0,0,Good,High
685,Expert Blemishes & Acne Control Sheet Mask (Pack of 6) Edition,Beauty & Hygiene,425.73,774,Face Care,3.9,348.27,45,Good,Medium
686,"Expert Super Tight Plastic Container - Printed, Assorted Colour Bundle","Kitchen, Garden & Pets",209,342,Containers Sets,3.6,133,38.89,Good,Medium
687,Max Under Eye Gel Set,Beauty & Hygiene,505.75,595,Eye Care,2,89.25,15,Average,High
688,New Generation Dates Pickle Collection,Snacks & Branded Foods,150,150,Other Veg Pickle,4.3,0,0,Very Good,Medium
689,Fusion Instant Noodles - Pepper Crab Flavor Model,Gourmet & World Food,45,50,Imported Noodles,4.2,5,10,Very Good,Low
690,"Elite Confeito Rainbow Vermicelli, Sprinkles Premium Pack",Gourmet & World Food,128.25,135,"Baking, Cake Decorations",3,6.75,5,Good,Low
691,Artisan Aroma Oil Range,Cleaning & Household,1500,1500,Air Freshener,3.9,0,0,Good,High
692,Artisan Honey - Weight Watchers Bundle,Snacks & Branded Foods,550,550,Honey,5,0,0,Excellent,High
693,Pro Adhesive - All Fix Clear & Non Staining All Purpose Style,Cleaning & Household,66.5,70,"Scissor, Glue & Tape",4.3,3.5,5,Very Good,Low
694,Max Amaranth Grains Selection,Gourmet & World Food,147,245,Quinoa & Grains,3.9,98,40,Good,Low
695,Fusion Garlic Treat Style,Snacks & Branded Foods,90,90,Namkeen & Savoury Snacks,3.9,0,0,Good,Low
696,Max Steel Lunch/Tiffin Box With 4 Containers - 8X4 Model,"Kitchen, Garden & Pets",349,599,Steel Lunch Boxes,3.9,250,41.74,Good,Medium
697,"Artisan Disposable Bamboo Wood Skewers/Pickers - For Use With Barbecue, 8 Inch Bundle","Kitchen, Garden & Pets",99,250,Kitchen Tools & Other Accessories,3.7,151,60.4,Good,Low
698,Pro Gulab Jamun - Gol M Gol Line,Snacks & Branded Foods,230,230,"Tinned, Packed Sweets",3.6,0,0,Good,Medium
699,Advanced Aloe Vera Kanti - Body Cleanser Soap Collection,Beauty & Hygiene,15,15,Shower Gel & Body Wash,4.2,0,0,Very Good,Low
700,Artisan Refillable Gas Lighter With Flame (27.5cm) Model,"Kitchen, Garden & Pets",185,199,Lighters,3.2,14,7.04,Good,Medium
701,"Signature Garbage Bags - Compostable, 100% Corn Starch, Large, Green, Mono-Carton(24x32 Inches) Premium Pack",Cleaning & Household,450,540,Garbage Bags,4,90,16.67,Very Good,Medium
702,"Advanced Focus - Super Dog Food, For Adults Edition","Kitchen, Garden & Pets",3612.5,4250,Pet Meals & Treats,3.3,0,0,Good,High
703,New Generation Room Air Freshener Spray - Rose Garden Selection,Cleaning & Household,119.2,149,Air Freshener,4,29.8,20,Very Good,Low
704,Ultimate Toilet Cleaner Clinging Bleach Gel Collection,Cleaning & Household,225,300,Toilet Cleaners,3.5,75,25,Good,Medium
705,Ultimate Organic - Sambar Powder Range,"Foodgrains, Oil & Masala",57,60,Organic Masalas & Spices,4,3,5,Very Good,Low
706,Artisan Choco Delite Bar Premium Pack,Snacks & Branded Foods,420,420,Granola & Cereal Bars,4,0,0,Very Good,Medium
707,Elite Pain Relief Cream Edition,Beauty & Hygiene,112.5,125,Everyday Medicine,4.3,12.5,10,Very Good,Low
708,New Generation Luna Water/Juice/Whisky Tumbler Style,"Kitchen, Garden & Pets",499,684,Glassware,3.5,185,27.05,Good,Medium
709,Elite Marvel Avengers Small 304 Stainless Steel Lunch Box/Tiffin Box - HMHTLB 73357-AV Premium Pack,"Kitchen, Garden & Pets",349,399,Lunch Boxes,3.9,50,12.53,Good,Medium
710,Essential Silicone Pacifier Step 2 - Purple Flower Model,Baby Care,249,249,Soothers & Teethers,3,0,0,Good,Medium
711,Max Olive Oil Series,Beauty & Hygiene,299,299,Aromatherapy,3.9,0,0,Good,Medium
712,"Fusion Cerelac Baby Cereal with Milk - Wheat Apple, From 6-12 Months, Rich in Iron Model",Baby Care,199,199,Baby Food,4.4,0,0,Very Good,Medium
713,Signature Rockers - Chocolate laddu Bundle,Snacks & Branded Foods,299,299,Fresh Sweets,4.2,0,0,Very Good,Medium
714,Ultimate Muffin/Cup Cake - Vanilla Range,"Bakery, Cakes & Dairy",159,159,Muffins & Cup Cakes,3.9,0,0,Good,Medium
715,Elite Gunpowder Temple of Heaven Hand Rolled Green Tea Edition,Gourmet & World Food,539.1,1198,Gourmet Tea & Tea Bags,3.9,0,0,Good,High
716,Pro Cool Wind Eau De Toilette Deodorant Line,Beauty & Hygiene,223.2,279,Men'S Deodorants,3.9,55.8,20,Good,Medium
717,Max Sausage - Chicken Piri Piri Style,"Eggs, Meat & Fish",325,325,Chicken Sausages,3.9,0,0,Good,Medium
718,"Expert Kesari Shakti Kalp Chyawanprash - Immunity Booster With Gold, Silver & Saffron Series",Beauty & Hygiene,450,450,Ayurveda,3.9,0,0,Good,Medium
719,Advanced Immuniveda Golden Turmeric Milk Mix - Immunity Booster Series,Gourmet & World Food,798,798,Health Drinks,3.7,0,0,Good,High
720,"Fusion Air Freshener - Lavender Flavoured, Paper, BB1100 Line",Cleaning & Household,58,58,Air Freshener,4.3,0,0,Very Good,Low
721,Essential Edam Ball Cheese - Diced Model,Gourmet & World Food,342,380,International Cheese,3.9,38,10,Good,Medium
722,Advanced Green Chilly - Chopped Range,Fruits & Vegetables,18,22.5,Cut & Peeled Veggies,3.9,4.5,20,Good,Low
723,Essential Channa Masala Series,"Foodgrains, Oil & Masala",21,35,Powdered Spices,4.1,14,40,Very Good,Low
724,Advanced Red Pasta Sauce Collection,Snacks & Branded Foods,40,40,Breakfast & Snack Mixes,4,0,0,Very Good,Low
725,Ultimate 100% Pure Honey - Worlds No.1 Honey Brand With No Sugar Adulteration Line,Snacks & Branded Foods,138,170,Honey,4.2,32,18.82,Very Good,Low
726,Elite Disney Cinderella Princess PVC Embossed Pencil Bag - HMHTPB 72231-CIN Premium Pack,Cleaning & Household,160,199,Exam Pads & Pencil Box,1,39,19.6,Poor,Medium
727,Expert Prosto-8 Tablet Series,Beauty & Hygiene,150,150,Ayurveda,3.9,0,0,Good,Medium
728,Pro Exfoliating Walnut Scrub Premium Pack,Beauty & Hygiene,161.25,215,Face Care,4.3,53.75,25,Very Good,Medium
729,"Signature Accurate Seal Plastic Tea, Coffee, Sugar Storage Container/Canister - Blue Collection","Kitchen, Garden & Pets",129,252,Containers Sets,4,123,48.81,Very Good,Low
730,Artisan Mousepad With Gel & Wrist Support Style,Cleaning & Household,87,150,Electronic Accessories,3.9,63,42,Good,Low
731,Artisan Premium Raw Organic Holy Basil Seeds Selection,Gourmet & World Food,99,165,Roasted Seeds & Nuts,3.9,66,40,Good,Low
732,"Max Namkeen - Murku, Ribbon Set",Snacks & Branded Foods,55,55,Namkeen & Savoury Snacks,4.2,0,0,Very Good,Low
733,New Generation Organic - Green Peas/Ona Batani Range,"Foodgrains, Oil & Masala",135,199,Organic Dals & Pulses,3.9,64,32.16,Good,Low
734,Advanced Chewy Mints - Lemon Bundle,Snacks & Branded Foods,50,50,Mints & Chewing Gum,4.1,0,0,Very Good,Low
735,Advanced Plain Container Jumbo Combo Set - Blue Set,"Kitchen, Garden & Pets",469,469,Containers Sets,1,0,0,Poor,Medium
736,Pro Nacho Crisps - Cheese & Herbs Range,Gourmet & World Food,13.4,20,Nachos & Chips,4.2,6.6,33,Very Good,Low
737,Advanced Syrup - Peach Range,Gourmet & World Food,895,895,Cocktail Mixes,3.9,0,0,Good,High
738,New Generation Disney Frozen 304 Stainless Steel Lunch Box/Tiffin Box - HMWWLB 85274-FZ Premium Pack,"Kitchen, Garden & Pets",599,699,Lunch Boxes,1,100,14.31,Poor,High
739,Essential Jack Fruit Chips Collection,Snacks & Branded Foods,120,120,Namkeen & Savoury Snacks,3.9,0,0,Good,Low
740,Elite Organic Sona Masoori White Rice/Akki Model,"Foodgrains, Oil & Masala",619,875,"Organic Rice, Other Rice",3.9,256,29.26,Good,High
741,Advanced Pet Food - Variety Stix Premium Pack,"Kitchen, Garden & Pets",440,440,Pet Meals & Treats,3.9,0,0,Good,Medium
742,Max Thyme & Rosemary Hair Tonic - Scalp-cleansing Treatment Edition,Beauty & Hygiene,95,95,Ayurveda,3.9,0,0,Good,Low
743,"New Generation Deccan Gold - Premium Filter Coffee, 80:20 Blend Bundle",Beverages,100,120,Ground Coffee,4.3,20,16.67,Very Good,Low
744,Ultimate Multigrain Chips - Dahi Papdi Chaat Bundle,Snacks & Branded Foods,29.75,35,Chips & Corn Snacks,4.1,5.25,15,Very Good,Low
745,Signature Shikanji & Chaat Savoury Taste Makers Collection,Gourmet & World Food,295,295,"Herbs, Seasonings & Rubs",3.9,0,0,Good,Medium
746,New Generation Value Pack - Blueberry Almond Crisps + California Pistachio Crunch Premium Pack,Gourmet & World Food,499,499,"Healthy, Baked Snacks",3.9,0,0,Good,Medium
747,Max Sensitive - With Anti-Sensitivity & Fluoride Toothpaste Range,Beauty & Hygiene,152,160,Toothpaste,3.9,8,5,Good,Medium
748,"Artisan Bucket - Super, Green Selection",Cleaning & Household,210,210,Buckets & Mugs,3.9,0,0,Good,Medium
749,"Signature Eau De Parfum - Hydra Energy, For Men Style",Beauty & Hygiene,299.25,399,Perfume,4,99.75,25,Very Good,Medium
750,Elite Safe Sun Sun Block Cream PA+ - SPF 20 Selection,Beauty & Hygiene,142.5,190,Face Care,4,47.5,25,Very Good,Low
751,Expert Chandan Kesar Haldi Face Pack Style,Beauty & Hygiene,436.5,485,Face Care,3.9,48.5,10,Good,Medium
752,Essential Hazel Nut Model,Gourmet & World Food,455,455,Dry Fruits & Berries,3.9,0,0,Good,Medium
753,Max Pickle - Avakkai Selection,Snacks & Branded Foods,57,57,Lime & Mango Pickle,4.1,0,0,Very Good,Low
754,Expert French Lavender Oil & Rose Water Face Wash Bundle,Beauty & Hygiene,310,310,Face Care,3.1,0,0,Good,Medium
755,Pro Green Moong//Hesaru Kaalu - Split Collection,"Foodgrains, Oil & Masala",130,160,"Toor, Channa & Moong Dal",4.2,30,18.75,Very Good,Low
756,Pro Bio Papaya Scrub Wash Set,Beauty & Hygiene,202.5,270,Face Care,4.1,67.5,25,Very Good,Medium
757,"Pro Organic Red Gram/Tur Dal - Split, Skinned Premium Pack","Foodgrains, Oil & Masala",135,135,Urad & Other Dals,4,0,0,Very Good,Low
758,"New Generation Clothes Storage Laundry Bag - Text Printed, Blue, BB-549 Line",Cleaning & Household,519,528,"Laundry, Storage Baskets",4,9,1.7,Very Good,High
759,Max Ramen Noodle Soup - Kimchi Premium Pack,Gourmet & World Food,110,110,Imported Noodles,4.2,0,0,Very Good,Low
760,Artisan Eyeconic Kajal Range,Beauty & Hygiene,206.25,275,Eyes,3.9,68.75,25,Good,Medium
761,Artisan Stainless Steel Water Bottle - Red BB 508 Bundle,"Kitchen, Garden & Pets",440,440,Water & Fridge Bottles,3.9,0,0,Good,Medium
762,Signature Nilgiris Green Teabags - Anicca Chamomile Style,Beverages,297.5,425,Green Tea,5,127.5,30,Excellent,Medium
763,Pro 4mm Aluminium Kadai With Handle - Silver Edition,"Kitchen, Garden & Pets",699,999,Kadai & Fry Pans,3.9,300,30.03,Good,High
764,Pro Select - Chhole Masala Set,"Foodgrains, Oil & Masala",75,75,Powdered Spices,4.5,0,0,Excellent,Low
765,Max Borosilicate Glass Round Container With Lid - Green Line,"Kitchen, Garden & Pets",249,329,Containers Sets,4.5,80,24.32,Excellent,Medium
766,Fusion Protein Bars - Peanut Cocoa Series,Gourmet & World Food,510,600,Cereal & Granola Bars,3.9,90,15,Good,High
767,Ultimate 2X French Perfume Fabric Conditioner Line,Cleaning & Household,388.08,450,"Fabric Pre, Post Wash",4.3,61.92,13.76,Very Good,Medium
768,Advanced Chilli Powder/Menasina Pudi Series,"Foodgrains, Oil & Masala",60,60,Powdered Spices,3.7,0,0,Good,Low
769,Pro Madras Sambar Powder Premium Pack,"Foodgrains, Oil & Masala",38,40,Blended Masalas,4.3,2,5,Very Good,Low
770,Max Frappuccino - Coffee Selection,Gourmet & World Food,350,350,Coffee & Pre-Mix,3.9,0,0,Good,Medium
771,Essential Cup Noodles - Italiano Collection,Snacks & Branded Foods,50,50,Cup Noodles,4,0,0,Very Good,Low
772,"Artisan Cat Care - Comfort Bowl, 32Oz GIb1010 Series","Kitchen, Garden & Pets",360,360,Pet Feeding Support,3.9,0,0,Good,Medium
773,Artisan Sylvana Whisky Glass Tumbler Set,"Kitchen, Garden & Pets",489,660,Glassware,3.9,171,25.91,Good,Medium
774,Advanced Flavoured Milk - Pista Model,"Bakery, Cakes & Dairy",96,100,"Flavoured, Soya Milk",4,4,4,Very Good,Low
775,Max India's No 1 Fluoride Free Toothpaste Style,Beauty & Hygiene,210.96,282,Toothpaste,4.3,71.04,25.19,Very Good,Medium
776,Essential Mild Cheddar - Red Portion Line,Gourmet & World Food,449,449,International Cheese,3.9,0,0,Good,Medium
777,Elite Wassup Pup Sulphate Free Puppy Shampoo Model,"Kitchen, Garden & Pets",390,390,Pet Cleaning & Grooming,3.9,0,0,Good,Medium
778,Signature Pinnacle Pride Lunch/Tiffin Kit - Yellow Bundle,"Kitchen, Garden & Pets",600,600,Lunch Boxes,3.9,0,0,Good,High
779,Ultimate Red Hot Anti Germ Mouthwash Edition,Beauty & Hygiene,185,230,Mouthwash,4.2,45,19.57,Very Good,Medium
780,Essential Premium Eau De Toilette Selection,Beauty & Hygiene,1319.4,2199,Perfume,3.9,0,0,Good,High
781,"Max Coffee Roasters - Dark Vienna Roast, French Press Set",Gourmet & World Food,450,450,Coffee & Pre-Mix,3.9,0,0,Good,Medium
782,Essential Pure Shilajit - Resin Form Style,Beauty & Hygiene,1450,1450,Supplements & Proteins,3.9,0,0,Good,High
783,Elite Pickle - Chicken Model,Snacks & Branded Foods,265,265,Non Veg Pickle,2.2,0,0,Average,Medium
784,Max Taft Ultimate Hair Lacquer Ultimately Strong 6 Series,Beauty & Hygiene,395,395,Hair & Scalp Treatment,3.7,0,0,Good,Medium
785,Signature Vinegar - Apple Cider Vinegar + Garcinia Set,Gourmet & World Food,497.17,599,Balsamic & Cider Vinegar,4.4,101.83,17,Very Good,Medium
786,Expert Baby Powder Series,Baby Care,235,235,Baby Powder,4.5,0,0,Excellent,Medium
787,Max Aloe 90% Soothing Gel Edition,Beauty & Hygiene,400,400,Face Care,1,0,0,Poor,Medium
788,New Generation Assam Tea Collection,Gourmet & World Food,80,80,Gourmet Tea & Tea Bags,3.9,0,0,Good,Low
789,Pro In-Shower Hair Removal Cream For Men & Women - Normal Skin Style,Beauty & Hygiene,450,450,Hair Removal,4.1,0,0,Very Good,Medium
790,Elite Chicken Nuggets Edition,Snacks & Branded Foods,269,269,Frozen Non-Veg Snacks,4,0,0,Very Good,Medium
791,Artisan Organic - Pumpkin Seeds/Kumbalakayi Bija Set,"Foodgrains, Oil & Masala",375,475,Organic Dry Fruits,4,100,21.05,Very Good,Medium
792,Elite Atlantic Salmon - Smoked  Presliced Collection,"Eggs, Meat & Fish",1180,1180,Frozen Fish & Seafood,3.9,0,0,Good,High
793,Artisan Evening Primrose Oil - Vegetarian Capsule (500 mg) Line,Beauty & Hygiene,295,295,Hair Oil & Serum,5,0,0,Excellent,Medium
794,Signature Beetroot - Julienne Range,Fruits & Vegetables,26,32.5,Cut & Peeled Veggies,3.9,6.5,20,Good,Low
795,"Artisan Green Tea - Tulsi, Good Morning Selection",Beverages,75,150,Green Tea,3.9,75,50,Good,Low
796,Advanced Fabric Conditioner - Rose Fresh Style,Cleaning & Household,450,450,Imported Cleaners,3,0,0,Good,Medium
797,"Elite Graphene Anion Day Use, L Style",Beauty & Hygiene,120,120,Sanitary Napkins,3.9,0,0,Good,Low
